"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"C_0402_1005Metric";2;"10pF";;;
2;"C3,C8,C9";"C_0402_1005Metric";3;"1UF";;;
3;"C5";"C_0402_1005Metric";1;"1uf";;;
4;"C6";"C_0402_1005Metric";1;"33nf";;;
5;"C7";"C_1206_3216Metric";1;"47UF";;;
6;"IC1";"MA702";1;"MA702";;;
7;"IC2";"QFN80P800X800X220-33N";1;"MC33926PNB";;;
8;"J1,J2";"Molex_CLIK-Mate_502443-0670_1x06-1MP_P2.00mm_Vertical";2;"Conn_01x06_Male";;;
9;"R1";"R_0402_1005Metric";1;"100k";;;
10;"R4";"R_0402_1005Metric";1;"220";;;
11;"R5,R6,R7,R8,R9";"R_0402_1005Metric";5;"1k";;;
12;"C4";"C_0402_1005Metric";1;"0.1UF";;;
13;"Y1";"ECX-1247";1;"32mhz";;;
14;"IC3";"SON95P300X300X80-7N";1;"LP38690SD-ADJ_NOPB";;;
15;"J3";"1x4Pads";1;"Conn_01x04_Male";;;
16;"M1";"hv5932mgMotor";1;"Motor_DC";;;
17;"U1";"QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm";1;"STM32L432KCUx";;;
